Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"28,850","31,619","34,439","37,106","38,938","40,865","42,607","44,582","46,326","47,037","48,387","49,080","48,181"
Interest,"11,997","12,978","14,479","16,368","17,908","19,409","20,424","21,122","22,225","22,633","23,047","23,090","22,017"
Expenses+,"22,336","22,946","25,959","21,402","24,560","24,929","30,604","29,387","32,221","33,510","37,588","31,991","35,065"
Financing Profit,"-5,483","-4,305","-6,000",-663,"-3,530","-3,473","-8,421","-5,927","-8,120","-9,106","-12,248","-6,002","-8,901"
Financing Margin %,-19%,-14%,-17%,-2%,-9%,-8%,-20%,-13%,-18%,-19%,-25%,-12%,-18%
Other Income+,"16,634","16,470","19,735","15,229","18,690","18,615","24,575","22,688","26,617","27,589","31,361","25,496","28,027"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"11,151","12,165","13,735","14,566","15,160","15,142","16,154","16,761","18,496","18,483","19,113","19,494","19,126"
Tax %,25%,25%,25%,24%,25%,26%,26%,26%,25%,25%,25%,26%,25%
Net Profit+,"8,361","9,166","10,236","11,014","11,351","11,515","12,200","12,463","13,906","13,847","14,354","14,456","14,318"
EPS in Rs,11.49,12.60,14.11,15.20,15.56,15.76,16.62,16.62,18.38,18.25,18.96,19.00,18.70
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
