Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"29,870","30,621","32,456","33,892","34,436","35,299","35,452","37,218","37,924","41,470","42,599","45,529","46,106"
Expenses+,"24,802","25,368","26,798","27,642","28,706","29,075","28,848","29,975","30,790","33,239","34,688","37,301","37,177"
Operating Profit,"5,068","5,254","5,658","6,249","5,730","6,224","6,604","7,243","7,133","8,231","7,911","8,228","8,929"
OPM %,17%,17%,17%,18%,17%,18%,19%,19%,19%,20%,19%,18%,19%
Other Income+,"1,348","1,184",662,"1,065",812,756,750,733,"1,126",719,"1,141","1,395","1,145"
Interest,"1,382","1,596","1,634","1,719","1,835","1,945","1,989","2,108","2,217","2,362","2,397","2,431","2,347"
Depreciation,"1,092","1,110","1,194","1,128","1,139","1,123","1,335","1,248","1,302","1,495","2,029","1,548","1,669"
Profit before tax,"3,943","3,732","3,492","4,468","3,568","3,912","4,030","4,621","4,740","5,092","4,627","5,644","6,058"
Tax %,23%,20%,14%,18%,30%,24%,22%,23%,29%,29%,23%,22%,35%
Net Profit+,"3,021","2,994","2,998","3,684","2,484","2,977","3,125","3,546","3,361","3,624","3,542","4,377","3,964"
EPS in Rs,22.30,21.53,21.20,28.21,18.88,21.38,22.15,26.40,25.50,25.58,26.50,32.84,29.54
Raw PDF,,,,,,,,,,,,,
