Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,976","3,684","3,929","3,782","3,845","3,929","4,134","4,450","3,782","4,153","4,102","3,871","3,780"
Expenses+,"3,334","3,102","3,368","3,394","3,349","3,528","3,543","3,915","3,268","3,772","3,652","3,351","3,333"
Operating Profit,643,582,560,388,497,401,591,536,514,380,450,520,447
OPM %,16%,16%,14%,10%,13%,10%,14%,12%,14%,9%,11%,13%,12%
Other Income+,19,32,33,25,28,24,88,39,40,58,75,60,72
Interest,13,8,6,7,8,7,7,8,8,9,7,8,8
Depreciation,106,109,109,115,118,120,121,123,130,129,129,131,134
Profit before tax,542,498,478,290,399,297,551,444,417,300,389,441,377
Tax %,25%,25%,22%,26%,26%,26%,25%,26%,26%,26%,26%,26%,26%
Net Profit+,404,372,370,216,296,221,410,331,309,221,288,328,280
EPS in Rs,5.87,5.40,5.38,3.14,4.30,3.21,5.96,4.80,4.48,3.21,4.18,4.76,4.06
Raw PDF,,,,,,,,,,,,,
