Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"19,509","16,055","18,009","14,745","16,545","17,376","17,720","17,095","12,086","12,925","17,249","14,812","16,327"
Expenses+,"19,284","15,621","16,382","13,795","14,740","16,696","16,678","16,432","12,761","12,683","16,464","14,714","15,183"
Operating Profit,225,434,"1,627",950,"1,804",680,"1,042",663,-675,242,785,99,"1,144"
OPM %,1%,3%,9%,6%,11%,4%,6%,4%,-6%,2%,5%,1%,7%
Other Income+,4,3,10,10,10,8,19,19,19,15,32,26,23
Interest,61,108,84,57,65,50,51,48,52,79,66,37,34
Depreciation,143,141,157,147,157,151,151,150,153,153,150,151,152
Profit before tax,25,188,"1,396",756,"1,593",486,859,484,-862,24,602,-64,982
Tax %,31%,23%,27%,26%,25%,25%,27%,26%,-26%,15%,22%,-37%,27%
Net Profit+,17,144,"1,013",556,"1,195",365,628,357,-634,21,470,-40,719
EPS in Rs,1.14,9.68,68.01,37.37,80.28,24.53,42.17,23.98,-42.55,1.40,31.56,-2.69,48.30
Raw PDF,,,,,,,,,,,,,
