Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,468","2,547","5,705","8,265","11,247","15,227","18,925"
Expenses+,"7,292","3,843","9,355","12,538","13,447","18,015","22,369"
Operating Profit,"-3,824","-1,296","-3,650","-4,273","-2,199","-2,788","-3,444"
OPM %,-110%,-51%,-64%,-52%,-20%,-18%,-18%
Other Income+,218,-19,239,438,341,384,373
Interest,85,75,48,58,71,101,147
Depreciation,217,221,170,286,421,612,952
Profit before tax,"-3,908","-1,612","-3,629","-4,179","-2,350","-3,117","-4,169"
Tax %,0%,0%,0%,0%,0%,0%,
Net Profit+,"-3,920","-1,617","-3,629","-4,179","-2,350","-3,117","-4,169"
EPS in Rs,,,,,,-13.63,-17.48
Dividend Payout %,0%,0%,0%,0%,0%,0%,
