Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,953","2,303","2,183","2,628","2,982","3,467","3,298","4,104","4,157","4,657","4,217","4,883","4,818"
Expenses+,"1,697","1,980","1,980","2,261","2,526","2,838","2,828","3,491","3,511","3,809","3,566","4,036","4,002"
Operating Profit,256,323,203,367,457,629,470,613,646,847,651,848,816
OPM %,13%,14%,9%,14%,15%,18%,14%,15%,16%,18%,15%,17%,17%
Other Income+,84,91,89,79,105,110,695,101,51,80,74,50,28
Interest,91,91,92,92,95,99,33,32,33,37,38,40,42
Depreciation,112,118,137,141,152,165,213,181,197,245,272,293,325
Profit before tax,137,204,64,212,314,475,919,501,467,646,416,565,477
Tax %,42%,24%,30%,21%,27%,22%,23%,22%,28%,23%,25%,25%,22%
Net Profit+,79,155,45,167,228,371,712,391,335,497,312,425,373
EPS in Rs,2.62,4.70,1.52,4.88,6.60,10.53,19.81,11.04,9.53,13.99,8.95,12.09,10.60
Raw PDF,,,,,,,,,,,,,
