Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,081",938,"1,005","1,044","1,134","1,110","1,069","1,025","1,095","1,075","1,234","1,187","1,201"
Expenses+,964,831,896,932,"1,009",994,959,912,976,957,"1,100","1,065","1,089"
Operating Profit,117,108,108,113,124,117,110,113,119,118,134,122,111
OPM %,11%,12%,11%,11%,11%,10%,10%,11%,11%,11%,11%,10%,9%
Other Income+,4,2,7,4,3,2,478,1,1,0,1,1,1
Interest,21,22,23,24,26,25,28,31,30,26,29,29,32
Depreciation,20,20,20,22,22,22,37,29,28,27,28,32,32
Profit before tax,80,68,73,71,79,71,523,55,62,64,78,61,48
Tax %,32%,35%,35%,33%,34%,16%,1%,25%,26%,26%,22%,23%,26%
Net Profit+,55,44,47,47,52,59,516,41,46,48,61,47,36
EPS in Rs,3.49,2.80,3.02,3.03,3.34,3.79,32.85,2.60,2.94,3.04,3.87,3.01,2.26
Raw PDF,,,,,,,,,,,,,
