Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"22,629","29,440","34,098","28,932","34,083","34,021"
Expenses+,"10,957","13,215","16,583","15,256","16,652","16,398"
Operating Profit,"11,672","16,225","17,515","13,676","17,431","17,623"
OPM %,52%,55%,51%,47%,51%,52%
Other Income+,"1,819","1,082","1,370","1,054",857,962
Interest,386,290,333,955,"1,095","1,035"
Depreciation,"2,531","2,917","3,264","3,468","3,640","3,714"
Profit before tax,"10,574","14,100","15,288","10,307","13,553","13,836"
Tax %,25%,32%,31%,25%,24%,
Net Profit+,"7,980","9,629","10,511","7,759","10,353","10,564"
EPS in Rs,18.89,22.79,24.88,18.36,24.50,25.01
Dividend Payout %,113%,79%,303%,71%,118%,
