,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"10,762","10,952","11,241","10,931","11,941","12,192","12,381","11,983","12,653","13,291","13,675","12,959","13,851"
Expenses +,"7,877","7,996","8,237","8,129","8,609","9,013","8,904","8,948","9,045","9,352","9,666","9,243","9,550"
Operating Profit,"2,884","2,957","3,004","2,802","3,332","3,179","3,477","3,035","3,608","3,939","4,009","3,716","4,302"
OPM %,27%,27%,27%,26%,28%,26%,28%,25%,29%,30%,29%,29%,31%
Other Income +,2,85,174,202,-118,294,180,504,533,354,149,251,-354
Interest,14,19,46,93,81,49,35,74,62,69,52,49,75
Depreciation,588,610,660,672,651,633,622,650,655,626,631,664,701
Profit before tax,"2,285","2,412","2,471","2,240","2,481","2,791","3,000","2,816","3,424","3,598","3,476","3,254","3,173"
Tax %,8%,6%,11%,10%,19%,14%,14%,5%,16%,16%,16%,34%,27%
Net Profit +,"2,093","2,256","2,181","1,983","2,006","2,385","2,561","2,659","2,861","3,037","2,913","2,154","2,293"
EPS in Rs,8.59,9.43,9.03,8.27,8.43,9.90,10.52,11.06,11.82,12.67,12.10,8.96,9.50
Raw PDF,,,,,,,,,,,,,
