,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales +,"22,605","17,426","10,984","23,384","17,388","26,430","22,482","25,396","25,158","4,536","15,687","25,401","11,936"
Expenses +,"22,869","17,502","11,400","23,663","17,682","26,584","22,760","25,362","24,839","4,295","15,272","25,188","11,955"
Operating Profit,-264,-76,-416,-280,-293,-155,-278,34,319,241,415,213,-19
OPM %,-1%,-0%,-4%,-1%,-2%,-1%,-1%,0%,1%,5%,3%,1%,-0%
Other Income +,507,352,780,496,570,420,549,237,-17,169,183,177,408
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,243,277,364,216,276,265,270,271,302,410,598,390,389
Tax %,18%,20%,35%,5%,12%,14%,36%,17%,17%,21%,36%,23%,24%
Net Profit +,200,222,235,206,244,227,174,224,251,325,385,301,296
EPS in Rs,1.39,1.54,1.64,1.43,1.69,1.58,1.21,1.56,1.74,2.25,2.67,2.08,2.04
Raw PDF,,,,,,,,,,,,,
