,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"2,255","1,855","1,708","1,951","1,778","1,909","1,855","2,303","2,118","2,338","2,319","2,585","2,410"
Expenses +,"1,406","1,234","1,299","1,464","1,274","1,430","1,366","1,572","1,496","1,622","1,576","1,699","1,681"
Operating Profit,849,621,409,487,504,479,489,731,622,716,743,886,729
OPM %,38%,33%,24%,25%,28%,25%,26%,32%,29%,31%,32%,34%,30%
Other Income +,88,80,113,66,81,86,95,79,79,106,82,86,119
Interest,0,0,0,0,0,1,0,2,0,1,0,1,3
Depreciation,85,86,87,87,93,95,95,95,97,99,99,107,112
Profit before tax,852,615,435,466,492,469,489,713,604,722,726,864,733
Tax %,18%,20%,30%,31%,28%,26%,27%,25%,29%,29%,19%,23%,26%
Net Profit +,702,493,306,321,356,348,358,538,430,510,589,662,545
EPS in Rs,26.44,18.57,11.53,12.09,13.41,13.11,13.49,20.27,16.20,19.21,22.19,24.94,20.53
Raw PDF,,,,,,,,,,,,,
