,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,488","1,607","1,560","1,643","1,657","1,770","1,680","1,786","1,859","1,988","1,928","2,007","2,167"
Expenses +,"1,237","1,304","1,283","1,372","1,386","1,440","1,396","1,405","1,516","1,554","1,553","1,572","1,676"
Operating Profit,251,303,276,271,272,330,284,381,343,435,375,435,491
OPM %,17%,19%,18%,16%,16%,19%,17%,21%,18%,22%,19%,22%,23%
Other Income +,31,75,26,26,10,18,19,17,14,-42,47,-29,31
Interest,31,33,33,32,31,32,33,35,35,36,45,68,70
Depreciation,74,77,83,82,79,84,87,92,91,95,97,102,101
Profit before tax,176,268,186,183,171,233,183,271,230,261,279,237,351
Tax %,24%,19%,24%,25%,27%,21%,27%,25%,24%,26%,9%,21%,24%
Net Profit +,134,218,142,138,124,184,134,203,174,193,254,188,267
EPS in Rs,1.62,2.71,1.72,1.76,1.48,2.30,1.78,2.37,2.20,2.34,3.28,2.44,3.45
Raw PDF,,,,,,,,,,,,,
