,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,109,127,144,134,146,165,192,181,234,286,301,291,373
Expenses +,60,63,112,134,136,195,212,79,102,106,108,131,132
Operating Profit,49,64,32,-0,9,-30,-21,102,133,179,193,160,241
OPM %,45%,50%,22%,-0%,6%,-18%,-11%,56%,57%,63%,64%,55%,65%
Other Income +,9,18,20,20,20,19,18,20,19,26,24,30,33
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,6,4,6,4,7,11,14,13,14,15,22,17
Profit before tax,52,77,48,14,25,-17,-14,108,138,191,202,168,256
Tax %,20%,18%,19%,61%,23%,9%,-63%,19%,20%,20%,21%,20%,21%
Net Profit +,41,63,39,5,20,-19,-5,88,111,154,160,135,203
EPS in Rs,8.13,12.41,7.61,1.07,3.86,-3.74,-1.05,17.23,21.75,30.12,31.38,26.56,39.84
Raw PDF,,,,,,,,,,,,,
