,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,169,180,188,183,182,209,219,228,238,280,290,283,274
Expenses +,106,109,107,99,112,116,121,125,138,154,159,160,160
Operating Profit,62,71,81,84,70,93,98,104,100,127,131,122,114
OPM %,37%,39%,43%,46%,39%,45%,45%,45%,42%,45%,45%,43%,41%
Other Income +,3,2,6,6,5,6,6,7,8,11,9,10,10
Interest,3,3,3,3,3,3,1,1,1,1,1,1,1
Depreciation,11,11,13,11,12,13,13,15,15,17,16,17,18
Profit before tax,51,60,71,76,60,84,89,94,92,119,122,114,105
Tax %,27%,19%,25%,25%,28%,27%,25%,21%,26%,25%,26%,26%,26%
Net Profit +,37,48,53,57,43,61,67,74,68,89,90,85,77
EPS in Rs,2.23,2.86,3.19,3.37,2.55,3.61,3.92,4.36,3.97,5.21,5.25,4.94,4.49
Raw PDF,,,,,,,,,,,,,
