,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,977,900,"1,099","1,499","1,175","1,131","1,257","1,496","1,184",971,"1,316","1,715","1,152"
Expenses +,846,755,900,"1,199",969,886,"1,057","1,250","1,020",818,"1,112","1,413",963
Operating Profit,131,145,199,301,206,245,200,246,164,154,204,302,188
OPM %,13%,16%,18%,20%,18%,22%,16%,16%,14%,16%,15%,18%,16%
Other Income +,9,10,7,7,9,11,15,39,12,20,19,9,30
Interest,5,5,8,14,10,11,13,12,10,14,7,7,11
Depreciation,19,19,20,25,24,24,25,25,26,26,27,29,32
Profit before tax,116,132,178,268,181,221,178,248,140,134,188,276,176
Tax %,25%,25%,25%,28%,25%,26%,25%,22%,25%,26%,29%,26%,28%
Net Profit +,87,99,134,193,135,164,133,193,106,99,133,203,127
EPS in Rs,12.39,14.09,19.02,27.33,19.10,23.38,18.96,27.42,15.00,14.32,18.73,29.55,18.81
Raw PDF,,,,,,,,,,,,,
